SOI_CD,SOI_NM,ITT_CD,ITT_NM,SOI_NM2, SOI_CD2,,,,
41,상호저축,813,드림저축은행,제2금융권,2,,,,
41,상호저축,815,대아저축은행,제2금융권,2,,,,
41,상호저축,818,머스트삼일저축은행,제2금융권,2,,,,
41,상호저축,823,참저축은행,제2금융권,2,,,,
41,상호저축,825,대원저축은행,제2금융권,2,,,,
41,상호저축,826,오성저축은행,제2금융권,2,,,,
41,상호저축,831,에스앤티저축은행,제2금융권,2,,,,
41,상호저축,832,경은저축은행,제2금융권,2,,,,
41,상호저축,834,솔브레인저축은행,제2금융권,2,,,,
41,상호저축,836,동원제일저축은행,제2금융권,2,,,,
41,상호저축,837,조흥저축은행,제2금융권,2,,,,
41,상호저축,838,진주저축은행,제2금융권,2,,,,
41,상호저축,843,미래저축은행,제2금융권,2,,,,
41,상호저축,845,으뜸저축은행,제2금융권,2,,,,
41,상호저축,849,예가람저축은행,제2금융권,2,,,,
41,상호저축,850,파랑새저축은행,제2금융권,2,,,,
41,상호저축,851,제이티저축은행,제2금융권,2,,,,
41,상호저축,853,삼호저축은행,제2금융권,2,,,,
41,상호저축,855,엔에이치저축은행　　　　　　　,제2금융권,2,,,,
41,상호저축,856,대신상호저축은행,제2금융권,2,,,,
41,상호저축,857,IBK저축은행,제2금융권,2,,,,
41,상호저축,859,케이비저축은행,제2금융권,2,,,,
41,상호저축,860,비엔케이저축은행　　　　　　　,제2금융권,2,,,,
41,상호저축,861,신한저축은행,제2금융권,2,,,,
41,상호저축,862,하나저축은행,제2금융권,2,,,,
41,상호저축,863,제이티친애저축은행　　　　　　,제2금융권,2,,,,
41,상호저축,867,웰컴저축은행　　　　　　　　　,제2금융권,2,,,,
41,상호저축,868,오케이저축은행,제2금융권,2,,,,
43,케이알앤씨,934,케이알앤씨,제2금융권,2,,,,
44,공제조합,945,소프트웨어공제조합,제2금융권,2,,,,
44,공제조합,5800,건설공제조합,제2금융권,2,,,,
44,공제조합,5801,기계설비건설공제조합,제2금융권,2,,,,
44,공제조합,5802,전기공사공제조합,제2금융권,2,,,,
44,공제조합,5803,자본재공제조합,제2금융권,2,,,,
44,공제조합,5804,엔지니어링공제조합,제2금융권,2,,,,
44,공제조합,6614,전문건설공제조합,제2금융권,2,,,,
46,기타,5901,농업협동조합자산관리,제2금융권,2,,,,
47,온투업,1303,나이스비즈니스플랫폼,대부업 등,3,,,,
47,온투업,1304,펀딩119,대부업 등,3,,,,
47,온투업,1305,윙크스톤파트너스,대부업 등,3,,,,
47,온투업,1306,비드펀딩,대부업 등,3,,,,
47,온투업,1307,투게더앱스,대부업 등,3,,,,
47,온투업,1308,와이펀드,대부업 등,3,,,,
47,온투업,1309,줌펀드,대부업 등,3,,,,
47,온투업,1310,다온핀테크,대부업 등,3,,,,
47,온투업,1311,헬로핀테크,대부업 등,3,,,,
47,온투업,1312,베네핏소셜,대부업 등,3,,,,
47,온투업,1314,에잇퍼센트,대부업 등,3,,,,
47,온투업,1315,비플러스,대부업 등,3,,,,
47,온투업,1316,어니스트펀드,대부업 등,3,,,,
47,온투업,1318,브이핀테크,대부업 등,3,,,,
47,온투업,1319,나모펀딩,대부업 등,3,,,,
47,온투업,1320,크로스파이낸스코리아,대부업 등,3,,,,
47,온투업,1322,펀다,대부업 등,3,,,,
47,온투업,1323,에이치비핀테크,대부업 등,3,,,,
47,온투업,1324,론포인트,대부업 등,3,,,,
47,온투업,1325,루트에너지,대부업 등,3,,,,
47,온투업,1326,위펀딩,대부업 등,3,,,,
47,온투업,1327,프로핏,대부업 등,3,,,,
47,온투업,1329,리딩플러스,대부업 등,3,,,,
47,온투업,1330,데일리펀딩,대부업 등,3,,,,
47,온투업,1331,미라클핀테크,대부업 등,3,,,,
47,온투업,1332,모우다,대부업 등,3,,,,
61,투신사(자산운용),533,골든브릿지자산운용,제2금융권,2,,,,
61,투신사(자산운용),534,유경피에스지자산운용,제2금융권,2,,,,
61,투신사(자산운용),535,파인아시아자산운용,제2금융권,2,,,,
61,투신사(자산운용),536,IBK자산운용,제2금융권,2,,,,
61,투신사(자산운용),537,도이치자산운용,제2금융권,2,,,,
61,투신사(자산운용),538,우리자산운용,제2금융권,2,,,,
61,투신사(자산운용),539,마이다스에셋자산운용,제2금융권,2,,,,
61,투신사(자산운용),540,코레이트자산운용,제2금융권,2,,,,
61,투신사(자산운용),541,한국투신운용,제2금융권,2,,,,
61,투신사(자산운용),542,하나ＵＢＳ자산운용,제2금융권,2,,,,
61,투신사(자산운용),544,하이자산운용,제2금융권,2,,,,
61,투신사(자산운용),545,삼성투신운용,제2금융권,2,,,,
61,투신사(자산운용),547,유리자산운용,제2금융권,2,,,,
61,투신사(자산운용),548,슈로더투신운용,제2금융권,2,,,,
61,투신사(자산운용),549,ＨＤＣ자산운용,제2금융권,2,,,,
61,투신사(자산운용),550,대신자산운용,제2금융권,2,,,,
61,투신사(자산운용),552,멀티에셋자산운용,제2금융권,2,,,,
61,투신사(자산운용),553,키움투자자산운용　　　　　　　,제2금융권,2,,,,
61,투신사(자산운용),554,교보악사자산운용,제2금융권,2,,,,
61,투신사(자산운용),555,알파에셋자산운용,제2금융권,2,,,,
61,투신사(자산운용),556,신영투신운용,제2금융권,2,,,,
61,투신사(자산운용),559,칸서스자산운용,제2금융권,2,,,,
61,투신사(자산운용),560,한화자산운용,제2금융권,2,,,,
61,투신사(자산운용),561,유진자산운용,제2금융권,2,,,,
61,투신사(자산운용),562,미래에셋자산운용,제2금융권,2,,,,
61,투신사(자산운용),563,DB자산운용,제2금융권,2,,,,
61,투신사(자산운용),564,신한ＢＮＰ파리바투신운용,제2금융권,2,,,,
61,투신사(자산운용),565,흥국투신운용,제2금융권,2,,,,
61,투신사(자산운용),566,플러스자산운용,제2금융권,2,,,,
61,투신사(자산운용),567,플랭클린템플턴투신운용,제2금융권,2,,,,
